id,priority,candidate,sku,product_type,supply_local,buy_gbp,ask_median_gbp,haircut_sell_gbp,est_cm_gbp,active_listings,known_evidence,supply_url,sold_check_url,match_status,match_query_used,match_confidence,match_notes,manual_sold_median,manual_sold_90d,manual_verdict,manual_notes
41,7,Fellow Carter 3-in-1 Lid System Stone Blue,CBOX-SB,Drinkware,USD 49.95,36.58,153.77,92.26,32.19,1,USER: indexed sold ~GBP33 is FULL MUG+3 lids bundle; lid-system-only comp likely contaminated,https://fellowproducts.com/products/carter-3-in-1-lid-system?variant=43274207887460,https://www.ebay.co.uk/sch/i.html?_nkw=Fellow+Carter+3-in-1+Lid+System+Stone+Blue&LH_Sold=1&LH_Complete=1,,,,,,,,
42,8,Peak Design PD Certified Sage,L-SG-3A,Camera Straps,USD 40.46,29.63,166.23,99.74,49.13,65,CONDITION: 'PD Certified' = refurb; comps mostly new. Match condition explicitly,https://peakdesign.com/products/leash-sage-pd-certified?variant=42770713083981,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Sage&LH_Sold=1&LH_Complete=1,,,,,,,,
43,8,Peak Design PD Certified 3L Ash,BEDS-3-AS-2A,Bags,USD 62.96,46.10,183.07,109.84,38.97,17,CONDITION: 'PD Certified' = refurb; comps mostly new. Match condition explicitly,https://peakdesign.com/products/everyday-sling-3l-ash-v1-pd-certified?variant=41875284820045,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+3L+Ash&LH_Sold=1&LH_Complete=1,,,,,,,,
44,8,Peak Design PD Certified 6L Ash,BEDS-6-AS-2A,Bags,USD 81.86,59.94,179.40,107.64,23.21,16,CONDITION: 'PD Certified' = refurb; comps mostly new. Match condition explicitly,https://peakdesign.com/products/everyday-sling-6l-ash-v1-pd-certified?variant=42770716229709,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+6L+Ash&LH_Sold=1&LH_Complete=1,,,,,,,,
45,8,Peak Design Factory 2nd 3L Black,BEDS-3-BK-3B,Bags,USD 79.96,58.55,169.95,101.97,19.78,3,CONDITION: 'PD Certified' = refurb; comps mostly new. Match condition explicitly,https://peakdesign.com/products/everyday-sling-3l-black-factory-2nd?variant=41875286261837,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+3L+Black&LH_Sold=1&LH_Complete=1,,,,,,,,
46,8,Peak Design PD Certified Midnight,SL-MN-3A,Camera Straps,USD 64.76,47.42,144.26,86.56,19.17,99,CONDITION: 'PD Certified' = refurb; comps mostly new. Match condition explicitly,https://peakdesign.com/products/slide-midnight-pd-certified?variant=42770712494157,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Midnight&LH_Sold=1&LH_Complete=1,,,,,,,,
47,9,Goal Zero Yeti 200X OPEN BOX,22070R,,USD 142.97,104.69,366.14,219.68,60.94,14,CONDITION: open-box buy leg vs new comps,https://goalzero.com/products/yeti-200x-open-box?variant=42316551356585,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+200X+OPEN+BOX&LH_Sold=1&LH_Complete=1,,,,,,,,
48,10,GSI Outdoors Pioneer Tablespoon,01218,GEAR,USD 2.63,1.93,39.52,23.71,12.14,1,CLAUDE: eBay market is 3pc/12pc SETS; single-utensil comp contaminated. Likely identity-fail,https://gsioutdoors.com/products/pioneer-tablespoon?variant=44359916847336,https://www.ebay.co.uk/sch/i.html?_nkw=GSI+Outdoors+Pioneer+Tablespoon&LH_Sold=1&LH_Complete=1,,,,,,,,
49,10,GSI Outdoors Pioneer Knife,01255,GEAR,USD 2.63,1.93,32.58,19.55,8.62,6,CLAUDE: eBay market is 3pc/12pc SETS; single-utensil comp contaminated. Likely identity-fail,https://gsioutdoors.com/products/pioneer-knife?variant=44359915962600,https://www.ebay.co.uk/sch/i.html?_nkw=GSI+Outdoors+Pioneer+Knife&LH_Sold=1&LH_Complete=1,,,,,,,,
50,10,GSI Outdoors Pioneer Fork,01245,GEAR,USD 2.63,1.93,25.63,15.38,5.05,5,CLAUDE: eBay market is 3pc/12pc SETS; single-utensil comp contaminated. Likely identity-fail,https://gsioutdoors.com/products/pioneer-fork?variant=44359915929832,https://www.ebay.co.uk/sch/i.html?_nkw=GSI+Outdoors+Pioneer+Fork&LH_Sold=1&LH_Complete=1,,,,,,,,
